PLOTID;QuadrantID;Landscape_type;Landscape_type_2;Plot_type;Plot_type_2;Landscape_Plot;BIN_Richness;Long-Term Mean Annual Precipitation;Long-Term Mean Annual Average Near Surface Temperature;point_x;point_y;Lat;Lon;Elevation;Climate_category;Excluded
5636_4_A;5636_4;Agricultural;b;arable field;c;b_c;802;825,2333333;7,761111111;3696825,023;5580568,146;50,328201;11,763294;562;1;0
5636_4_F;5636_4;Agricultural;b;forest;a;b_a;949;846,4;7,490277778;3700232,5;5578926,065;50,31231;11,81022;614;1;0
5636_4_G;5636_4;Agricultural;b;meadow;b;b_b;560;803,2;7,681666667;3700131,311;5580679,993;50,328093;11,80973;551;1;0
5637_3_A;5637_3;Urban;c;arable field;c;c_c;473;757,8333333;7,724722222;3702728,561;5582170,587;50,34059;11,84696;558;1;0
5637_3_G;5637_3;Urban;c;meadow;b;c_b;787;775,1666667;7,689166667;3703446,049;5580414,331;50,324574;11,85608;519;1;0
5637_3_U;5637_3;Urban;c;settlement;d;c_d;804;717,2333333;7,7475;3706417,544;5579381,856;50,314272;11,89719;536;1;0
5728_2_A;5728_2;Agricultural;b;arable field;c;b_c;478;597,4;8,961666667;3603896,377;5573385,043;50,287344;10,456818;292;3;0
5728_2_F;5728_2;Agricultural;b;forest;a;b_a;957;689,9666667;8,481944444;3603249,002;5570272,775;50,259487;10,446889;380;3;0
5728_2_G;5728_2;Agricultural;b;meadow;b;b_b;780;595,2666667;9,096944444;3605819,467;5573896,372;50,291598;10,483936;274;3;0
5737_3_A;5737_3;Agricultural;b;arable field;c;b_c;703;818,9;7,747777778;3703971,817;5569530,559;50,226669;11,857593;545;1;0
5737_3_F;5737_3;Agricultural;b;forest;a;b_a;746;795,6;7,755555556;3706396,058;5570088,789;50,230841;11,891826;569;1;0
5737_3_G;5737_3;Agricultural;b;meadow;b;b_b;616;781,6666667;7,832222222;3706800,497;5568226,053;50,213975;11,896473;514;1;0
5837_4_A;5837_4;Agricultural;b;arable field;c;b_c;597;811,0333333;7,49;3711584,144;5560555,71;50,14342;11,959142;626;1;0
5837_4_F;5837_4;Agricultural;b;forest;a;b_a;720;903,2;7,4125;3709964,089;5557350,679;50,115219;11,934746;680;1;0
5837_4_G;5837_4;Agricultural;b;meadow;b;b_b;719;797,7;7,7;3712800,185;5557018,502;50,111228;11,97416;543;1;0
5838_2_A;5838_2;Urban;c;arable field;c;c_c;678;762,0666667;7,268611111;3721499,912;5564717,624;50,177166;12,100076;612;1;0
5838_2_F;5838_2;Urban;c;forest;a;c_a;783;778,4666667;7,029444444;3721481,343;5565858,547;50,187415;12,10048;675;1;0
5838_2_U;5838_2;Urban;c;settlement;d;c_d;803;723;7,521388889;3724413,171;5564138,237;50,17087;12,140457;571;1;0
5923_3_F;5923_3;Semi-natural;a;forest;a;a_a;867;978,7666667;8,401111111;3540572,089;5544152,864;50,032296;9,565229;430;4;0
5923_3_G;5923_3;Semi-natural;a;meadow;b;a_b;770;774,8;10,02055556;3540043,868;5541609,401;50,009466;9,557592;168;4;0
5923_3_U;5923_3;Semi-natural;a;settlement;d;a_d;988;882,2;9,479166667;3537357,417;5544264,302;50,033508;9,520374;224;4;0
5924_3_A;5924_3;Semi-natural;a;arable field;c;a_c;538;806,1333333;9,085833333;3550053,318;5544488,674;50,034594;9,697595;348;5;0
5924_3_F;5924_3;Semi-natural;a;forest;a;a_a;961;777,0333333;9,305555556;3549321,563;5541978,372;50,012088;9,68706;296;5;0
5924_3_U;5924_3;Semi-natural;a;settlement;d;a_d;978;699,9333333;9,727777778;3552719,105;5543965,721;50,029663;9,734729;182;5;0
5928_2_A;5928_2;Agricultural;b;arable field;c;b_c;534;647,8666667;9,601944444;3606183,737;5552191,942;50,096472;10,48299;254;4;0
5928_2_F;5928_2;Agricultural;b;forest;a;b_a;924;745,1666667;9,043055556;3602968,598;5549350,625;50,071501;10,437306;370;4;0
5928_2_U;5928_2;Agricultural;b;settlement;d;b_d;790;688,6666667;9,348888889;3606115,016;5549468,074;50,072004;10,481275;286;4;0
5933_4_A;5933_4;Agricultural;b;arable field;c;b_c;691;859,1333333;8,360555556;3664440,109;5544108,089;50,010602;11,29315;466;2;0
5933_4_F;5933_4;Agricultural;b;forest;a;b_a;1039;845,3333333;8,476666667;3665095,529;5542931,223;49,999849;11,301781;483;2;0
5933_4_U;5933_4;Agricultural;b;settlement;d;b_d;910;865,1666667;8,265277778;3665735,241;5546035,651;50,027559;11,312035;481;2;0
5938_2_A;5938_2;Agricultural;b;arable field;c;b_c;812;721,1666667;7,749722222;3725665,838;5553539,841;50,075257;12,151705;517;1;0
5938_2_F;5938_2;Agricultural;b;forest;a;b_a;723;777,2666667;7,523888889;3724217,982;5551886,471;50,060962;12,130542;590;1;0
5938_2_G;5938_2;Agricultural;b;meadow;b;b_b;879;780,9666667;7,445555556;3722568,308;5551749,366;50,06035;12,107458;580;1;0
5938_3_A;5938_3;Urban;c;arable field;c;c_c;741;787,5333333;7,803055556;3717771,68;5548689,192;50,03465;12,03883;538;1;0
5938_3_F;5938_3;Urban;c;forest;a;c_a;781;873,4333333;7,302777778;3718214,086;5546070,682;50,01098;12,043509;625;1;0
5938_3_U;5938_3;Urban;c;settlement;d;c_d;757;852,7;7,478055556;3716338,204;5546486,233;50,015394;12,017609;581;1;0
6022_1_F;6022_1;Semi-natural;a;forest;a;a_a;908;1048,2;8,364722222;3525643,245;5537042,658;49,969202;9,356396;445;3;0
6022_1_G;6022_1;Semi-natural;a;meadow;b;a_b;656;988,3666667;8,816388889;3527904,937;5537888,043;49,976701;9,387982;401;3;0
6022_1_U;6022_1;Semi-natural;a;settlement;d;a_d;909;969,5;8,958888889;3527991,126;5536405,342;49,963367;9,389076;346;3;0
6026_3_A;6026_3;Agricultural;b;arable field;c;b_c;597;629,1;9,499722222;3575863,595;5531875,963;49,918494;10,055316;272;4;0
6026_3_G;6026_3;Agricultural;b;meadow;b;b_b;610;675,4666667;9,240555556;3573432,975;5533040,482;49,929265;10,021698;283;4;0
6026_3_U;6026_3;Agricultural;b;settlement;d;b_d;882;627,7;9,546666667;3575544,747;5534038,792;49,937976;10,0513;260;4;0
6027_3_A;6027_3;Agricultural;b;arable field;c;b_c;553;576,6333333;9,861111111;3585643,236;5532196,378;49,920055;10,191534;215;5;1
6027_3_F;6027_3;Agricultural;b;forest;a;b_a;687;599,7666667;9,739166667;3586032,518;5534115,573;49,93725;10,197381;261;5;1
6027_3_U;6027_3;Agricultural;b;settlement;d;b_d;836;549,8333333;9,818888889;3588702,173;5532430,292;49,921712;10,234173;229;5;0
6029_3_A;6029_3;Semi-natural;a;arable field;c;a_c;861;771,4333333;8,720277778;3611766,271;5532408,702;49,917655;10,555232;368;3;0
6029_3_F;6029_3;Semi-natural;a;forest;a;a_a;1243;734,7;8,920277778;3609632,625;5532255,192;49,91667;10,52549;408;3;0
6029_3_G;6029_3;Semi-natural;a;meadow;b;a_b;984;771,4333333;8,720277778;3612131,923;5532472,503;49,91816;10,56034;366;3;0
6031_4_F;6031_4;Urban;c;forest;a;c_a;1177;673,5;9,509444444;3639222,143;5532908,286;49,916388;10,937508;281;4;0
6031_4_G;6031_4;Urban;c;meadow;b;c_b;1267;670,4666667;9,546111111;3640680,912;5535165,992;49,936333;10,95863;259;4;0
6031_4_U;6031_4;Urban;c;settlement;d;c_d;1079;670,4666667;9,546111111;3640815,098;5534897,283;49,933887;10,9604;285;4;0
6032_4_A;6032_4;Agricultural;b;arable field;c;b_c;923;925,2666667;8,181666667;3649942,847;5534530,611;49,928374;11,087313;531;2;0
6032_4_F;6032_4;Agricultural;b;forest;a;b_a;939;853,7;8,555;3652966,745;5532754,251;49,911649;11,128695;493;2;0
6032_4_G;6032_4;Agricultural;b;meadow;b;b_b;1135;919,8666667;8,265;3651460,248;5532538,977;49,910098;11,107651;490;2;0
6034_2_A;6034_2;Semi-natural;a;arable field;c;a_c;471;777,7;8,4475;3674400,659;5540845,86;49,978471;11,430507;415;3;0
6034_2_F;6034_2;Semi-natural;a;forest;a;a_a;789;731,2;8,681388889;3678077,051;5542484,775;49,992107;11,482472;411;3;0
6034_2_G;6034_2;Semi-natural;a;meadow;b;a_b;556;804,7333333;8,357222222;3674918,242;5539625,061;49,967354;11,437162;437;3;0
6035_2_A;6035_2;Urban;c;arable field;c;c_c;652;762,9666667;8,883611111;3686722,797;5542412,375;49,988815;11,602884;348;2;0
6035_2_G;6035_2;Urban;c;meadow;b;c_b;738;805,6333333;8,686666667;3689579,667;5541225,013;49,977251;11,642095;434;2;0
6035_2_U;6035_2;Urban;c;settlement;d;c_d;990;773,6333333;8,778333333;3687949,175;5539126,012;49,958915;11,618364;358;2;0
6035_3_A;6035_3;Urban;c;arable field;c;c_c;445;796,4666667;8,546944444;3683607,666;5532699,691;49,902546;11,554866;423;3;0
6035_3_F;6035_3;Urban;c;forest;a;c_a;931;737,1333333;8,846944444;3680764,735;5535169,764;49,925597;11,516487;429;3;0
6035_3_U;6035_3;Urban;c;settlement;d;c_d;827;731,6333333;8,929722222;3684824,757;5536413,479;49,935527;11,573567;343;3;0
6122_4_A;6122_4;Semi-natural;a;arable field;c;a_c;568;850,6333333;9,173333333;3534074,749;5521276,931;49,827042;9,472531;358;4;0
6122_4_F;6122_4;Semi-natural;a;forest;a;a_a;1059;790,3666667;9,6025;3532146,655;5520331,562;49,818649;9,445657;314;4;0
6122_4_G;6122_4;Semi-natural;a;meadow;b;a_b;768;898,2666667;8,843055556;3532591,036;5522671,381;49,839661;9,452028;422;4;0
6123_1_A;6123_1;Semi-natural;a;arable field;c;a_c;689;813,6333333;9,407777778;3538760,491;5525793,935;49,867367;9,538102;313;5;0
6123_1_F;6123_1;Semi-natural;a;forest;a;a_a;1088;813,6333333;9,407777778;3538648,373;5526490,442;49,873636;9,536612;262;5;0
6123_1_G;6123_1;Semi-natural;a;meadow;b;a_b;859;868,1333333;9,095555556;3537174,685;5525846,508;49,86794;9,51605;342;5;0
6125_2_A;6125_2;Semi-natural;a;arable field;c;a_c;705;705,8666667;9,294722222;3569308,856;5526850,483;49,874113;9,963159;317;5;0
6125_2_F;6125_2;Semi-natural;a;forest;a;a_a;903;690,4;9,45;3567101,565;5526715,878;49,873154;9,932433;272;5;0
6125_2_U;6125_2;Semi-natural;a;settlement;d;a_d;1137;625,2666667;9,92;3568631,099;5525191,87;49,859281;9,953438;279;5;0
6131_1_A;6131_1;Urban;c;arable field;c;c_c;797;678,7;9,416666667;3634464,272;5527936,122;49,872797;10,869569;293;5;0
6131_1_F;6131_1;Urban;c;forest;a;c_a;1069;683,8333333;9,4325;3636621,33;5526144,133;49,856207;10,898928;282;5;0
6131_1_U;6131_1;Urban;c;settlement;d;c_d;1037;702,4666667;9,279166667;3634477,432;5529940,277;49,890803;10,870448;302;5;0
6137_4_A;6137_4;Semi-natural;a;arable field;c;a_c;662;833,8333333;7,903333333;3714090,351;5523502,616;49,809849;11,973559;565;1;0
6137_4_F;6137_4;Semi-natural;a;forest;a;a_a;971;803,9666667;8,087222222;3713292,698;5525198,667;49,825361;11,963423;550;1;0
6137_4_G;6137_4;Semi-natural;a;meadow;b;a_b;646;780,0666667;8,173611111;3713007,676;5526762,242;49,839501;11,960325;508;1;0
6224_2_A;6224_2;Agricultural;b;arable field;c;b_c;814;636,7;9,95;3555866,246;5515727,985;49,775526;9,774571;242;5;0
6224_2_F;6224_2;Agricultural;b;forest;a;b_a;1065;699,6333333;9,531388889;3555460,459;5514394,217;49,763573;9,768748;281;5;0
6224_2_U;6224_2;Agricultural;b;settlement;d;b_d;921;648,5;9,671111111;3557931,47;5514265,156;49,76218;9,803023;299;5;0
6225_2_A;6225_2;Urban;c;arable field;c;c_c;756;565;10,23277778;3569942,934;5515502,55;49,772028;9,969936;272;5;0
6225_2_F;6225_2;Urban;c;forest;a;c_a;982;624,6;10,18055556;3569234,084;5516200,7;49,778386;9,960221;279;5;0
6225_2_U;6225_2;Urban;c;settlement;d;c_d;891;608,8;10,30861111;3567035,97;5515566,089;49,77293;9,929597;180;5;0
6231_4_A;6231_4;Semi-natural;a;arable field;c;a_c;1177;663,6333333;9,685833333;3641968,596;5513216,619;49,738806;10,968528;261;5;0
6231_4_F;6231_4;Semi-natural;a;forest;a;a_a;1191;691,8;9,575555556;3643150,908;5512586,362;49,732863;10,984689;292;5;0
6231_4_G;6231_4;Semi-natural;a;meadow;b;a_b;984;718,3666667;9,578055556;3643907,001;5510022,221;49,709643;10,994226;290;5;0
6234_2_A;6234_2;Semi-natural;a;arable field;c;a_c;1028;875,5666667;8,710833333;3674868,729;5520094,588;49,791936;11,427653;464;2;0
6234_2_F;6234_2;Semi-natural;a;forest;a;a_a;1096;921,2;8,339166667;3678768,161;5516624,097;49,759616;11,480165;474;2;0
6234_2_G;6234_2;Semi-natural;a;meadow;b;a_b;651;941,8;8,420277778;3676054,213;5518433,816;49,776672;11,443351;450;2;1
6327_2_A;6327_2;Agricultural;b;arable field;c;b_c;559;624,8333333;9,739166667;3591981,998;5506930,653;49,692013;10,273802;277;5;0
6327_2_G;6327_2;Agricultural;b;meadow;b;b_b;733;641,6666667;9,568611111;3595052,579;5506791,916;49,69029;10,316314;294;5;0
6327_2_U;6327_2;Agricultural;b;settlement;d;b_d;1158;615,5;9,763611111;3592503,351;5504251,251;49,667849;10,280393;263;5;0
6532_3_A;6532_3;Urban;c;arable field;c;c_c;820;646,9;9,428888889;3645199,299;5475604,428;49,400068;10,999459;331;5;0
6532_3_F;6532_3;Urban;c;forest;a;c_a;910;608,8333333;9,659166667;3647164,818;5477224,372;49,414153;11,027121;323;5;0
6532_3_U;6532_3;Urban;c;settlement;d;c_d;864;616,7;9,5925;3648823,783;5477985,926;49,420593;11,050254;320;5;0
6533_4_F;6533_4;Semi-natural;a;forest;a;a_a;804;820,1666667;8,924444444;3668433,135;5477482,135;49,41096;11,320103;410;4;0
6533_4_G;6533_4;Semi-natural;a;meadow;b;a_b;1053;828,5666667;9,065;3665985,085;5480910,068;49,442429;11,287828;354;4;0
6533_4_U;6533_4;Semi-natural;a;settlement;d;a_d;865;814,6666667;8,936111111;3666850,564;5477502,228;49,411576;11,298321;393;4;0
6836_3_A;6836_3;Agricultural;b;arable field;c;b_c;624;826,9666667;8,335833333;3698600,829;5447045,652;49,12851261;11,72029174;542;2;0
6836_3_F;6836_3;Agricultural;b;forest;a;b_a;801;837,6666667;8,273611111;3698131,112;5448708,225;49,14359677;11,71467913;570;2;0
6836_3_G;6836_3;Agricultural;b;meadow;b;b_b;818;827,2;8,301111111;3697298,399;5447297,976;49,13119792;11,7025895;565;2;0
6934_1_A;6934_1;Agricultural;b;arable field;c;b_c;623;834,1;8,583611111;3674883,356;5439011,242;49,06353;11,39215;523;3;0
6934_1_F;6934_1;Agricultural;b;forest;a;b_a;787;690,7333333;9,151111111;3673024,608;5437401,296;49,04959;11,36605;506;3;0
6934_1_G;6934_1;Agricultural;b;meadow;b;b_b;1035;794,6666667;8,728055556;3673616,426;5438781,068;49,06182;11,37473;465;3;0
6938_4_A;6938_4;Urban;c;arable field;c;c_c;837;653,9666667;9,454444444;3727708,668;5438832,559;49,04469;12,11394;343;4;0
6938_4_G;6938_4;Urban;c;meadow;b;c_b;853;680,3;9,281666667;3727315,527;5438832,011;49,04483;12,10857;363;4;0
6938_4_U;6938_4;Urban;c;settlement;d;c_d;901;699,9666667;9,3825;3726630;5434285,509;49,00426;12,09667;365;4;0
6945_2_F;6945_2;Semi-natural;a;forest;a;a_a;758;1401,833333;4,966944444;3814480,953;5447639,866;49,08558;13,304759;1122;1;0
6945_2_G;6945_2;Semi-natural;a;meadow;b;a_b;1037;1153,3;7,490277778;3812201,268;5444177,255;49,05569;13,27097;656;1;0
6945_2_N;6945_2;Semi-natural;a;forest;a;a_a;1009;1349,033333;6,330277778;3815491,005;5444842,071;49,059978;13,316369;932;1;0
7036_4_A;7036_4;Semi-natural;a;arable field;c;a_c;615;758,5;8,981944444;3705997,369;5426857,545;48,94477;11,81127;462;4;0
7036_4_F;7036_4;Semi-natural;a;forest;a;a_a;885;773,6;8,923611111;3704080,38;5426614,302;48,94322;11,78501;511;4;0
7036_4_G;7036_4;Semi-natural;a;meadow;b;a_b;934;758,3666667;8,984166667;3701667,25;5423968,876;48,92025;11,7508;464;4;0
7143_4_F;7143_4;Urban;c;meadow;b;c_b;840;960,3;8,765;3788941,052;5418840,311;48,839731;12,935566;373;3;0
7143_4_G;7143_4;Urban;c;meadow;b;c_b;871;905,6;9,134444444;3790982,063;5415712,235;48,810718;12,961088;310;3;0
7143_4_U;7143_4;Urban;c;settlement;d;c_d;1190;949;8,939166667;3791188,642;5418996,434;48,840083;12,966222;377;3;0
7147_1_F;7147_1;Semi-natural;a;forest;a;a_a;965;1195,666667;6,983888889;3833733,635;5425867,514;48,880303;13,549673;829;1;0
7147_1_G;7147_1;Semi-natural;a;meadow;b;a_b;928;1088,4;7,415277778;3833509,926;5423691,865;48,860921;13,544862;679;1;0
7147_1_N;7147_1;Semi-natural;a;forest;a;a_a;1010;1181,066667;7,083611111;3834634,926;5426950,45;48,889525;13,562807;858;1;0
7246_1_A;7246_1;Semi-natural;a;arable field;c;a_c;784;1001,566667;8,477222222;3822442,047;5414710,287;48,786236;13,387424;453;2;0
7246_1_F;7246_1;Semi-natural;a;forest;a;a_a;1128;1085,5;7,988888889;3820672,205;5413716,952;48,778243;13,362636;536;2;0
7246_1_G;7246_1;Semi-natural;a;meadow;b;a_b;1095;1058,3;8,223888889;3822908,406;5412415,755;48,765422;13,391953;437;2;0
7332_3_A;7332_3;Agricultural;b;arable field;c;b_c;856;746;9,052777778;3648875,786;5389770,56;48,62785;11,01863;446;4;0
7332_3_F;7332_3;Agricultural;b;forest;a;b_a;1027;774,4;8,961111111;3648845,39;5391309,759;48,64169;11,01877;485;4;0
7332_3_G;7332_3;Agricultural;b;meadow;b;b_b;896;739,5666667;9,061111111;3648844,174;5391801,55;48,64611;11,01893;429;4;0
7437_1_A;7437_1;Agricultural;b;arable field;c;b_c;759;847,0666667;8,857222222;3713175,925;5385820,69;48,57379507;11,88791715;499;3;0
7437_1_F;7437_1;Agricultural;b;forest;a;b_a;961;852,6333333;8,845555556;3710096,387;5386335,86;48,57946082;11,84649789;498;3;0
7437_1_G;7437_1;Agricultural;b;meadow;b;b_b;959;859,8;8,795555556;3711286,522;5386256,924;48,57835215;11,86256717;520;3;0
7446_1_F;7446_1;Urban;c;forest;a;c_a;916;885,9;9,130555556;3804918,056;5380485,597;48,488097;13,124446;468;4;0
7446_1_G;7446_1;Urban;c;meadow;b;c_b;902;879,5666667;9,313611111;3820627,931;5389385,02;48,560093;13,343207;385;4;0
7446_1_U;7446_1;Urban;c;settlement;d;c_d;743;850,2;9,646666667;3821706,899;5391216,346;48,575962;13,359196;321;4;0
7544_2_A;7544_2;Agricultural;b;arable field;c;b_c;845;856,8;9,042777778;3823975,793;5392159,216;48,583249;13,390587;432;3;0
7544_2_F;7544_2;Agricultural;b;forest;a;b_a;980;850,8;9,0625;3806672,368;5378072,018;48,465597;13,146349;474;3;0
7544_2_G;7544_2;Agricultural;b;meadow;b;b_b;672;866,2666667;9,006388889;3806771,55;5379617,788;48,479413;13,148819;421;3;0
7545_2_A;7545_2;Agricultural;b;arable field;c;b_c;790;832,3666667;9,351111111;3818436,863;5378482,156;48,463439;13,305301;331;4;0
7545_2_F;7545_2;Agricultural;b;forest;a;b_a;952;846,5;9,320833333;3819273,272;5379712,219;48,474046;13,317516;393;4;0
7545_2_U;7545_2;Agricultural;b;settlement;d;b_d;638;834,4;9,409444444;3817884,924;5379850,136;48,475985;13,298897;342;4;0
7546_3_A;7546_3;Agricultural;b;arable field;c;b_c;891;778,1333333;9,576944444;3826383,385;5375878,439;48,436028;13,41041;304;5;0
7546_3_G;7546_3;Agricultural;b;meadow;b;b_b;983;784,3;9,565833333;3821665,646;5375248,042;48,432799;13,346354;312;5;0
7546_3_U;7546_3;Agricultural;b;settlement;d;b_d;680;783,9333333;9,562222222;3825714,98;5372856,52;48,409278;13,39906;309;5;1
7730_2_A;7730_2;Urban;c;arable field;c;c_c;968;935,7666667;8,688055556;3631765,9;5349360,165;48,268454;10,7739401;553;3;0
7730_2_F;7730_2;Urban;c;forest;a;c_a;923;943,1;8,679444444;3631208,514;5348947,116;48,2648567;10,7663075;593;3;0
7730_2_U;7730_2;Urban;c;settlement;d;c_d;599;885;8,8975;3636684,989;5349848,396;48,2718015;10,8403258;524;3;1
7835_1_F;7835_1;Urban;c;forest;a;c_a;1036;945,7666667;9,789722222;3687213,718;5342494,493;48,19283;11,51718;509;5;0
7835_1_G;7835_1;Urban;c;meadow;b;c_b;931;942,2333333;9,816944444;3687783,02;5342336,207;48,19124;11,52476;503;5;0
7835_1_U;7835_1;Urban;c;settlement;d;c_d;641;957,9666667;9,894166667;3687566,81;5340352,37;48,17348;11,52098;510;5;1
7837_4_A;7837_4;Semi-natural;a;arable field;c;a_c;566;1040,533333;8,849166667;3719976,51;5334095,938;48,10691;11,95297;569;3;0
7837_4_F;7837_4;Semi-natural;a;forest;a;a_a;753;1022,833333;8,914722222;3720282,483;5335756,666;48,12172;11,95793;557;3;0
7837_4_U;7837_4;Semi-natural;a;settlement;d;a_d;696;1073,6;8,765277778;3721707,499;5333089,328;48,09727;11,97566;595;3;0
7935_2_A;7935_2;Urban;c;arable field;c;c_c;739;1050,966667;9,013333333;3695733,137;5327558,339;48,05608;11,6248;558;4;0
7935_2_F;7935_2;Urban;c;forest;a;c_a;1166;1024,066667;9,296666667;3692920,185;5330677,611;48,08496;11,58851;551;4;0
7935_2_U;7935_2;Urban;c;settlement;d;c_d;644;1045,133333;9,053055556;3697569,104;5328094,324;48,06033;11,64965;553;4;0
8030_1_A;8030_1;Agricultural;b;arable field;c;b_c;615;1012,333333;8,459444444;3625414,23;5316923,571;47,9781557;10,6788863;638;2;0
8030_1_F;8030_1;Agricultural;b;forest;a;b_a;1203;1024,8;8,385833333;3625253,598;5315233,216;47,9629913;10,6762436;650;2;0
8030_1_G;8030_1;Agricultural;b;meadow;b;b_b;581;1011,4;8,468611111;3625958,82;5316807,499;47,9770054;10,6861437;636;2;0
8130_2_A;8130_2;Semi-natural;a;arable field;c;a_c;981;1097,366667;8,193611111;3636698,085;5306908,337;47,88582;10,82678;724;2;0
8130_2_F;8130_2;Semi-natural;a;forest;a;a_a;898;1161,333333;7,925;3635619,124;5306045,237;47,87829;10,81209;776;2;0
8130_2_G;8130_2;Semi-natural;a;meadow;b;a_b;685;1189,666667;7,878333333;3637047,027;5305067,701;47,8692;10,83086;742;2;0
8131_3_F;8131_3;Urban;c;forest;a;c_a;684;1143,2;8,255833333;3643211,559;5300012,665;47,8224184;10,9115418;761;2;1
8131_3_G;8131_3;Urban;c;meadow;b;c_b;709;1143,2;8,255833333;3642743,789;5300243,427;47,8245965;10,9053744;730;2;0
8131_3_U;8131_3;Urban;c;settlement;d;c_d;793;1123,466667;8,301666667;3641493,426;5298626,245;47,8103357;10,8881576;728;2;0
8141_2_F;8141_2;Urban;c;forest;a;c_a;970;1369,566667;8,756666667;3772776,956;5312871,513;47,8960277;12,6471868;620;3;0
8141_2_G;8141_2;Urban;c;meadow;b;c_b;516;1420,4;8,794722222;3771072,97;5311461,642;47,8840941;12,6235603;612;3;0
8141_2_U;8141_2;Urban;c;settlement;d;c_d;716;1467,5;8,951388889;3771849,898;5309302,646;47,8643875;12,6325707;616;3;0
8229_2_F;8229_2;Urban;c;forest;a;c_a;1024;1221,2;7,868888889;3623495,913;5293128,406;47,76461;10,64641;807;2;0
8229_2_G;8229_2;Urban;c;meadow;b;c_b;655;1200,2;7,9375;3623256,3;5292565,981;47,7595995;10,6430557;769;2;0
8229_2_U;8229_2;Urban;c;settlement;d;c_d;685;1225,133333;7,849722222;3621749,876;5294943,104;47,7812563;10,6236358;749;2;0
8235_1_F;8235_1;Urban;c;forest;a;c_a;980;1452,333333;8,331388889;3690952,93;5295601,236;47,7704;11,5466;652;2;0
8235_1_G;8235_1;Urban;c;meadow;b;c_b;786;1452,333333;8,331388889;3690699,977;5296060,354;47,7746;11,54343;650;2;0
8235_1_U;8235_1;Urban;c;settlement;d;c_d;747;1532,633333;8,067222222;3693616,33;5294192,597;47,75695;11,58147;715;2;0
8240_2_F;8240_2;Urban;c;forest;a;c_a;872;1801;7,080833333;3757205,497;5297804,607;47,7671844;12,4303905;786;1;0
8240_2_G;8240_2;Urban;c;meadow;b;c_b;588;1525,4;8,473333333;3758979,65;5297905,842;47,7673838;12,4540756;539;1;0
8240_2_U;8240_2;Urban;c;settlement;d;c_d;934;1537,933333;8,349722222;3759599,597;5296972,059;47,7587517;12,4617739;543;1;0
8243_1_F;8243_1;Semi-natural;a;forest;a;a_a;1143;1961,433333;6,776944444;3787441,244;5300632,227;47,7798055;12,8347535;933;2;1
8243_1_G;8243_1;Semi-natural;a;meadow;b;a_b;751;1370,866667;9,148611111;3792308,539;5300124,336;47,7730617;12,8992098;456;2;0
8243_1_U;8243_1;Semi-natural;a;settlement;d;a_d;694;1292,6;9,150277778;3791179,022;5300936,894;47,7808636;12,8847187;474;2;0
8343_4_F;8343_4;Semi-natural;a;forest;a;a_a;1097;1752,933333;7,549722222;3796057,605;5282797,139;47,61588;12,93737;842;1;0
8343_4_G;8343_4;Semi-natural;a;meadow;b;a_b;981;1556,2;8,644722222;3798803,575;5284435,484;47,6293216;12,9749248;597;1;0
